analog_id,parent_molecule_id,parent_smiles,analog_smiles,transformation_class,generated_by,source,accepted_flag,acceptance_tier,score_hacking_flag,rejection_reason,acceptance_reason,best_pose_id,best_receptor_id
analog_2d142fbcddf8,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,CNc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,small_substituent_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_binding_mode_broken,False,binding_mode_preservation_failed,,run__screen__prep_analog_2d142fbcddf8__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_46894f460378,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,Oc1ccc(-c2cn(C3CCNC3)c3ncnc(NF)c23)cc1,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_binding_mode_broken,False,binding_mode_preservation_failed,,run__screen__prep_analog_46894f460378__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_a6001fb60aee,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,Oc1ccc(-c2cn(C3CCNC3)c3ncnc(NCl)c23)cc1,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_binding_mode_broken,False,binding_mode_preservation_failed,,run__screen__prep_analog_a6001fb60aee__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_7571fc045a69,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,CONc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,solubilizing_tail_tuning,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_binding_mode_broken,False,binding_mode_preservation_failed,,run__screen__prep_analog_7571fc045a69__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_a1c686076943,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,N#CNc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,conservative_bioisostere,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_low_confidence,False,confidence_or_efficiency_threshold_failed,,run__screen__prep_analog_a1c686076943__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_850f6de0f09a,mol_aatoplajlqecrd_uhfffaoysa_n,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2C1CCNC1,Cc1nc(N)c2c(-c3ccc(O)cc3)cn(C3CCNC3)c2n1,small_substituent_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_score_hacking,True,docking_or_cnn_improved_without_binding_mode_preservation,,run__screen__prep_analog_850f6de0f09a__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_af3a17f34b26,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CC#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,small_substituent_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_af3a17f34b26__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_0367d4e7eae4,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,COCCOc1cc2ncnc(Nc3cccc(C#CF)c3)c2cc1OCCOC,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_0367d4e7eae4__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_2939c889a4f4,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,COCCOc1cc2ncnc(Nc3cccc(C#CCl)c3)c2cc1OCCOC,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_2939c889a4f4__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_4046a5406bb7,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,COC#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,solubilizing_tail_tuning,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_score_hacking,True,docking_or_cnn_improved_without_binding_mode_preservation,,run__screen__prep_analog_4046a5406bb7__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_5786016c296f,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,COCCOc1cc2ncnc(Nc3cccc(C#CC#N)c3)c2cc1OCCOC,conservative_bioisostere,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_5786016c296f__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_e1bd229bfc1e,mol_aakjlrggtjkamg_uhfffaoysa_n,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1C,small_substituent_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_e1bd229bfc1e__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_3ae302e6451c,mol_aaalvybiclmama_uhfffaoysa_n,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,CN1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,small_substituent_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_low_confidence,False,confidence_or_efficiency_threshold_failed,,run__screen__prep_analog_3ae302e6451c__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_60573c9627d4,mol_aaalvybiclmama_uhfffaoysa_n,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1F,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,True,tier_2_preserved_mode_better_properties,False,,binding_mode_preserved_with_no_major_score_or_efficiency_loss,run__screen__prep_analog_60573c9627d4__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_c26065965093,mol_aaalvybiclmama_uhfffaoysa_n,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1Cl,halogen_scan,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_low_confidence,False,confidence_or_efficiency_threshold_failed,,run__screen__prep_analog_c26065965093__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_8998aef49f3a,mol_aaalvybiclmama_uhfffaoysa_n,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,CON1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,solubilizing_tail_tuning,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_low_confidence,False,confidence_or_efficiency_threshold_failed,,run__screen__prep_analog_8998aef49f3a__1m17_a_aq4_999__pose01,1m17_a_aq4_999
analog_7c1edebe1b5c,mol_aaalvybiclmama_uhfffaoysa_n,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,N#CN1C(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C1=O,conservative_bioisostere,rdkit_deterministic_transform,stage9_rdkit_rule_based,False,rejected_low_confidence,False,confidence_or_efficiency_threshold_failed,,run__screen__prep_analog_7c1edebe1b5c__1m17_a_aq4_999__pose01,1m17_a_aq4_999
